key,Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,Attend.,Arena,Notes
63,Wed Oct 26 2022,9:00p,Houston Rockets,,Utah Jazz,,,Vivint Arena,
64,Wed Oct 26 2022,10:00p,Los Angeles Lakers,,Denver Nuggets,,,Ball Arena,
65,Wed Oct 26 2022,10:00p,Miami Heat,,Portland Trail Blazers,,,Moda Center,
66,Thu Oct 27 2022,7:30p,Dallas Mavericks,,Brooklyn Nets,,,Barclays Center,
67,Thu Oct 27 2022,8:00p,Los Angeles Clippers,,Oklahoma City Thunder,,,Paycom Center,
68,Thu Oct 27 2022,10:00p,Miami Heat,,Golden State Warriors,,,Chase Center,
69,Thu Oct 27 2022,10:00p,Memphis Grizzlies,,Sacramento Kings,,,Golden 1 Center,
70,Fri Oct 28 2022,7:00p,Atlanta Hawks,,Detroit Pistons,,,Little Caesars Arena,
71,Fri Oct 28 2022,7:00p,Charlotte Hornets,,Orlando Magic,,,Amway Center,
72,Fri Oct 28 2022,7:30p,Cleveland Cavaliers,,Boston Celtics,,,TD Garden,
73,Fri Oct 28 2022,7:30p,Philadelphia 76ers,,Toronto Raptors,,,Scotiabank Arena,
74,Fri Oct 28 2022,7:30p,Indiana Pacers,,Washington Wizards,,,Capital One Arena,
75,Fri Oct 28 2022,8:00p,New York Knicks,,Milwaukee Bucks,,,Fiserv Forum,
76,Fri Oct 28 2022,8:00p,Los Angeles Lakers,,Minnesota Timberwolves,,,Target Center,
77,Fri Oct 28 2022,8:30p,Chicago Bulls,,San Antonio Spurs,,,AT&T Center,
78,Fri Oct 28 2022,9:00p,Utah Jazz,,Denver Nuggets,,,Ball Arena,
79,Fri Oct 28 2022,10:00p,New Orleans Pelicans,,Phoenix Suns,,,Footprint Center,
80,Fri Oct 28 2022,10:00p,Houston Rockets,,Portland Trail Blazers,,,Moda Center,
81,Sat Oct 29 2022,6:00p,Miami Heat,,Sacramento Kings,,,Golden 1 Center,
82,Sat Oct 29 2022,7:00p,Golden State Warriors,,Charlotte Hornets,,,Spectrum Center,
83,Sat Oct 29 2022,7:30p,Indiana Pacers,,Brooklyn Nets,,,Barclays Center,
84,Sat Oct 29 2022,8:00p,Philadelphia 76ers,,Chicago Bulls,,,United Center,
85,Sat Oct 29 2022,8:00p,Atlanta Hawks,,Milwaukee Bucks,,,Fiserv Forum,
86,Sat Oct 29 2022,9:00p,Oklahoma City Thunder,,Dallas Mavericks,,,American Airlines Center,
87,Sat Oct 29 2022,9:00p,Memphis Grizzlies,,Utah Jazz,,,Vivint Arena,
88,Sun Oct 30 2022,3:00p,New Orleans Pelicans,,Los Angeles Clippers,,,Crypto.com Arena,
89,Sun Oct 30 2022,6:00p,Washington Wizards,,Boston Celtics,,,TD Garden,
90,Sun Oct 30 2022,6:00p,New York Knicks,,Cleveland Cavaliers,,,Rocket Mortgage Fieldhouse,
91,Sun Oct 30 2022,6:00p,Golden State Warriors,,Detroit Pistons,,,Little Caesars Arena,
92,Sun Oct 30 2022,7:00p,Minnesota Timberwolves,,San Antonio Spurs,,,AT&T Center,
93,Sun Oct 30 2022,7:30p,Orlando Magic,,Dallas Mavericks,,,American Airlines Center,
94,Sun Oct 30 2022,9:00p,Houston Rockets,,Phoenix Suns,,,Footprint Center,
95,Sun Oct 30 2022,9:30p,Denver Nuggets,,Los Angeles Lakers,,,Crypto.com Arena,
96,Mon Oct 31 2022,7:00p,Sacramento Kings,,Charlotte Hornets,,,Spectrum Center,
97,Mon Oct 31 2022,7:00p,Philadelphia 76ers,,Washington Wizards,,,Capital One Arena,
98,Mon Oct 31 2022,7:30p,Indiana Pacers,,Brooklyn Nets,,,Barclays Center,
99,Mon Oct 31 2022,7:30p,Atlanta Hawks,,Toronto Raptors,,,Scotiabank Arena,
100,Mon Oct 31 2022,8:00p,Detroit Pistons,,Milwaukee Bucks,,,Fiserv Forum,
101,Mon Oct 31 2022,9:00p,Memphis Grizzlies,,Utah Jazz,,,Vivint Arena,
102,Mon Oct 31 2022,10:30p,Houston Rockets,,Los Angeles Clippers,,,Crypto.com Arena,
103,Tue Nov 1 2022,7:30p,Chicago Bulls,,Brooklyn Nets,,,Barclays Center,
104,Tue Nov 1 2022,7:30p,Golden State Warriors,,Miami Heat,,,FTX Arena,
105,Tue Nov 1 2022,7:30p,Orlando Magic,,Oklahoma City Thunder,,,Paycom Center,
106,Tue Nov 1 2022,10:00p,Minnesota Timberwolves,,Phoenix Suns,,,Footprint Center,
107,Wed Nov 2 2022,7:00p,Boston Celtics,,Cleveland Cavaliers,,,Rocket Mortgage Fieldhouse,
108,Wed Nov 2 2022,7:00p,Washington Wizards,,Philadelphia 76ers,,,Wells Fargo Center,
109,Wed Nov 2 2022,7:30p,Charlotte Hornets,,Chicago Bulls,,,United Center,
110,Wed Nov 2 2022,7:30p,Sacramento Kings,,Miami Heat,,,FTX Arena,
111,Wed Nov 2 2022,7:30p,Atlanta Hawks,,New York Knicks,,,Madison Square Garden (IV),
112,Wed Nov 2 2022,8:00p,Los Angeles Clippers,,Houston Rockets,,,Toyota Center,
113,Wed Nov 2 2022,8:00p,Detroit Pistons,,Milwaukee Bucks,,,Fiserv Forum,
114,Wed Nov 2 2022,8:00p,Toronto Raptors,,San Antonio Spurs,,,AT&T Center,
115,Wed Nov 2 2022,8:30p,Utah Jazz,,Dallas Mavericks,,,American Airlines Center,
116,Wed Nov 2 2022,10:00p,Memphis Grizzlies,,Portland Trail Blazers,,,Moda Center,
117,Wed Nov 2 2022,10:30p,New Orleans Pelicans,,Los Angeles Lakers,,,Crypto.com Arena,
118,Thu Nov 3 2022,7:00p,Golden State Warriors,,Orlando Magic,,,Amway Center,
119,Thu Nov 3 2022,8:00p,Denver Nuggets,,Oklahoma City Thunder,,,Paycom Center,
120,Fri Nov 4 2022,7:00p,Cleveland Cavaliers,,Detroit Pistons,,,Little Caesars Arena,
121,Fri Nov 4 2022,7:00p,Miami Heat,,Indiana Pacers,,,Gainbridge Fieldhouse,
122,Fri Nov 4 2022,7:00p,New York Knicks,,Philadelphia 76ers,,,Wells Fargo Center,
123,Fri Nov 4 2022,7:00p,Brooklyn Nets,,Washington Wizards,,,Capital One Arena,
124,Fri Nov 4 2022,7:30p,Chicago Bulls,,Boston Celtics,,,TD Garden,
125,Fri Nov 4 2022,8:00p,Charlotte Hornets,,Memphis Grizzlies,,,FedEx Forum,
126,Fri Nov 4 2022,8:00p,Los Angeles Clippers,,San Antonio Spurs,,,AT&T Center,
127,Fri Nov 4 2022,8:30p,Toronto Raptors,,Dallas Mavericks,,,American Airlines Center,
128,Fri Nov 4 2022,8:30p,Golden State Warriors,,New Orleans Pelicans,,,Smoothie King Center,
129,Fri Nov 4 2022,10:00p,Milwaukee Bucks,,Minnesota Timberwolves,,,Target Center,
130,Fri Nov 4 2022,10:00p,Portland Trail Blazers,,Phoenix Suns,,,Footprint Center,
131,Fri Nov 4 2022,10:30p,Utah Jazz,,Los Angeles Lakers,,,Crypto.com Arena,
132,Sat Nov 5 2022,5:00p,Sacramento Kings,,Orlando Magic,,,Amway Center,
133,Sat Nov 5 2022,7:00p,Brooklyn Nets,,Charlotte Hornets,,,Spectrum Center,
134,Sat Nov 5 2022,7:30p,New Orleans Pelicans,,Atlanta Hawks,,,State Farm Arena,
135,Sat Nov 5 2022,7:30p,Boston Celtics,,New York Knicks,,,Madison Square Garden (IV),
136,Sat Nov 5 2022,8:00p,Oklahoma City Thunder,,Milwaukee Bucks,,,Fiserv Forum,
137,Sat Nov 5 2022,8:00p,Houston Rockets,,Minnesota Timberwolves,,,Target Center,
138,Sat Nov 5 2022,9:00p,San Antonio Spurs,,Denver Nuggets,,,Ball Arena,
139,Sat Nov 5 2022,10:00p,Portland Trail Blazers,,Phoenix Suns,,,Footprint Center,
140,Sun Nov 6 2022,3:30p,Cleveland Cavaliers,,Los Angeles Lakers,,,Crypto.com Arena,
141,Sun Nov 6 2022,6:00p,Washington Wizards,,Memphis Grizzlies,,,FedEx Forum,
142,Sun Nov 6 2022,6:00p,Chicago Bulls,,Toronto Raptors,,,Scotiabank Arena,
143,Sun Nov 6 2022,10:00p,Utah Jazz,,Los Angeles Clippers,,,Crypto.com Arena,
144,Mon Nov 7 2022,7:00p,Washington Wizards,,Charlotte Hornets,,,Spectrum Center,
145,Mon Nov 7 2022,7:15p,Houston Rockets,,Orlando Magic,,,Amway Center,
146,Mon Nov 7 2022,7:30p,Oklahoma City Thunder,,Detroit Pistons,,,Little Caesars Arena,
147,Mon Nov 7 2022,7:45p,New Orleans Pelicans,,Indiana Pacers,,,Gainbridge Fieldhouse,
148,Mon Nov 7 2022,8:00p,Phoenix Suns,,Philadelphia 76ers,,,Wells Fargo Center,
149,Mon Nov 7 2022,8:15p,Milwaukee Bucks,,Atlanta Hawks,,,State Farm Arena,
150,Mon Nov 7 2022,8:30p,Portland Trail Blazers,,Miami Heat,,,FTX Arena,
151,Mon Nov 7 2022,8:45p,Toronto Raptors,,Chicago Bulls,,,United Center,
152,Mon Nov 7 2022,9:00p,Boston Celtics,,Memphis Grizzlies,,,FedEx Forum,
153,Mon Nov 7 2022,9:15p,New York Knicks,,Minnesota Timberwolves,,,Target Center,
154,Mon Nov 7 2022,9:30p,Denver Nuggets,,San Antonio Spurs,,,AT&T Center,
155,Mon Nov 7 2022,9:45p,Brooklyn Nets,,Dallas Mavericks,,,American Airlines Center,
156,Mon Nov 7 2022,10:00p,Sacramento Kings,,Golden State Warriors,,,Chase Center,
157,Mon Nov 7 2022,10:15p,Los Angeles Lakers,,Utah Jazz,,,Vivint Arena,
158,Mon Nov 7 2022,10:30p,Cleveland Cavaliers,,Los Angeles Clippers,,,Crypto.com Arena,
159,Wed Nov 9 2022,7:00p,Portland Trail Blazers,,Charlotte Hornets,,,Spectrum Center,
160,Wed Nov 9 2022,7:00p,Denver Nuggets,,Indiana Pacers,,,Gainbridge Fieldhouse,
161,Wed Nov 9 2022,7:00p,Dallas Mavericks,,Orlando Magic,,,Amway Center,
162,Wed Nov 9 2022,7:30p,Utah Jazz,,Atlanta Hawks,,,State Farm Arena,
163,Wed Nov 9 2022,7:30p,Detroit Pistons,,Boston Celtics,,,TD Garden,
164,Wed Nov 9 2022,7:30p,New York Knicks,,Brooklyn Nets,,,Barclays Center,
165,Wed Nov 9 2022,7:30p,Houston Rockets,,Toronto Raptors,,,Scotiabank Arena,
166,Wed Nov 9 2022,8:00p,New Orleans Pelicans,,Chicago Bulls,,,United Center,
167,Wed Nov 9 2022,8:00p,Phoenix Suns,,Minnesota Timberwolves,,,Target Center,
168,Wed Nov 9 2022,8:00p,Milwaukee Bucks,,Oklahoma City Thunder,,,Paycom Center,
169,Wed Nov 9 2022,8:00p,Memphis Grizzlies,,San Antonio Spurs,,,AT&T Center,
170,Wed Nov 9 2022,10:00p,Los Angeles Lakers,,Los Angeles Clippers,,,Crypto.com Arena,
171,Wed Nov 9 2022,10:00p,Cleveland Cavaliers,,Sacramento Kings,,,Golden 1 Center,
172,Thu Nov 10 2022,7:00p,Dallas Mavericks,,Washington Wizards,,,Capital One Arena,
173,Thu Nov 10 2022,7:30p,Philadelphia 76ers,,Atlanta Hawks,,,State Farm Arena,
174,Thu Nov 10 2022,7:30p,Charlotte Hornets,,Miami Heat,,,FTX Arena,
175,Thu Nov 10 2022,8:00p,Portland Trail Blazers,,New Orleans Pelicans,,,Smoothie King Center,
176,Fri Nov 11 2022,7:00p,Denver Nuggets,,Boston Celtics,,,TD Garden,
177,Fri Nov 11 2022,7:00p,Phoenix Suns,,Orlando Magic,,,Amway Center,
178,Fri Nov 11 2022,7:30p,Detroit Pistons,,New York Knicks,,,Madison Square Garden (IV),
179,Fri Nov 11 2022,8:00p,Toronto Raptors,,Oklahoma City Thunder,,,Paycom Center,
180,Fri Nov 11 2022,8:00p,Milwaukee Bucks,,San Antonio Spurs,,,AT&T Center,
181,Fri Nov 11 2022,9:30p,Minnesota Timberwolves,,Memphis Grizzlies,,,FedEx Forum,
182,Fri Nov 11 2022,10:00p,Cleveland Cavaliers,,Golden State Warriors,,,Chase Center,
183,Fri Nov 11 2022,10:30p,Sacramento Kings,,Los Angeles Lakers,,,Crypto.com Arena,
184,Sat Nov 12 2022,4:00p,Brooklyn Nets,,Los Angeles Clippers,,,Crypto.com Arena,
185,Sat Nov 12 2022,6:00p,Utah Jazz,,Washington Wizards,,,Capital One Arena,
186,Sat Nov 12 2022,7:00p,Boston Celtics,,Detroit Pistons,,,Little Caesars Arena,
187,Sat Nov 12 2022,7:00p,Toronto Raptors,,Indiana Pacers,,,Gainbridge Fieldhouse,
188,Sat Nov 12 2022,7:30p,Atlanta Hawks,,Philadelphia 76ers,,,Wells Fargo Center,
189,Sat Nov 12 2022,8:00p,Charlotte Hornets,,Miami Heat,,,FTX Arena,
190,Sat Nov 12 2022,8:30p,Portland Trail Blazers,,Dallas Mavericks,,,American Airlines Center,
