key,Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,Attend.,Arena,Notes
273,Fri Nov 25 2022,7:00p,Philadelphia 76ers,,Orlando Magic,,,Amway Center,
274,Fri Nov 25 2022,7:30p,Portland Trail Blazers,,New York Knicks,,,Madison Square Garden (IV),
275,Fri Nov 25 2022,8:00p,Sacramento Kings,,Boston Celtics,,,TD Garden,
276,Fri Nov 25 2022,8:00p,Atlanta Hawks,,Houston Rockets,,,Toyota Center,
277,Fri Nov 25 2022,8:00p,Brooklyn Nets,,Indiana Pacers,,,Gainbridge Fieldhouse,
278,Fri Nov 25 2022,8:00p,New Orleans Pelicans,,Memphis Grizzlies,,,FedEx Forum,
279,Fri Nov 25 2022,8:00p,Washington Wizards,,Miami Heat,,,FTX Arena,
280,Fri Nov 25 2022,8:00p,Cleveland Cavaliers,,Milwaukee Bucks,,,Fiserv Forum,
281,Fri Nov 25 2022,8:00p,Chicago Bulls,,Oklahoma City Thunder,,,Paycom Center,
282,Fri Nov 25 2022,8:00p,Los Angeles Lakers,,San Antonio Spurs,,,AT&T Center,
283,Fri Nov 25 2022,9:00p,Detroit Pistons,,Phoenix Suns,,,Footprint Center,
284,Fri Nov 25 2022,10:00p,Utah Jazz,,Golden State Warriors,,,Chase Center,
285,Fri Nov 25 2022,10:30p,Denver Nuggets,,Los Angeles Clippers,,,Crypto.com Arena,
286,Sat Nov 26 2022,5:00p,Dallas Mavericks,,Toronto Raptors,,,Scotiabank Arena,
287,Sat Nov 26 2022,8:00p,Oklahoma City Thunder,,Houston Rockets,,,Toyota Center,
288,Sat Nov 26 2022,8:00p,Los Angeles Lakers,,San Antonio Spurs,,,AT&T Center,
289,Sat Nov 26 2022,9:00p,Utah Jazz,,Phoenix Suns,,,Footprint Center,
290,Sun Nov 27 2022,3:00p,Portland Trail Blazers,,Brooklyn Nets,,,Barclays Center,
291,Sun Nov 27 2022,3:30p,Golden State Warriors,,Minnesota Timberwolves,,,Target Center,
292,Sun Nov 27 2022,4:00p,Indiana Pacers,,Los Angeles Clippers,,,Crypto.com Arena,
293,Sun Nov 27 2022,5:00p,Miami Heat,,Atlanta Hawks,,,State Farm Arena,
294,Sun Nov 27 2022,6:00p,Washington Wizards,,Boston Celtics,,,TD Garden,
295,Sun Nov 27 2022,6:00p,Cleveland Cavaliers,,Detroit Pistons,,,Little Caesars Arena,
296,Sun Nov 27 2022,6:00p,Memphis Grizzlies,,New York Knicks,,,Madison Square Garden (IV),
297,Sun Nov 27 2022,6:00p,Philadelphia 76ers,,Orlando Magic,,,Amway Center,
298,Sun Nov 27 2022,8:00p,Dallas Mavericks,,Milwaukee Bucks,,,Fiserv Forum,
299,Mon Nov 28 2022,7:00p,Atlanta Hawks,,Philadelphia 76ers,,,Wells Fargo Center,
300,Mon Nov 28 2022,7:00p,Minnesota Timberwolves,,Washington Wizards,,,Capital One Arena,
301,Mon Nov 28 2022,7:30p,Charlotte Hornets,,Boston Celtics,,,TD Garden,
302,Mon Nov 28 2022,7:30p,Orlando Magic,,Brooklyn Nets,,,Barclays Center,
303,Mon Nov 28 2022,7:30p,Cleveland Cavaliers,,Toronto Raptors,,,Scotiabank Arena,
304,Mon Nov 28 2022,8:00p,Oklahoma City Thunder,,New Orleans Pelicans,,,Smoothie King Center,
305,Mon Nov 28 2022,9:00p,Houston Rockets,,Denver Nuggets,,,Ball Arena,
306,Mon Nov 28 2022,9:00p,Chicago Bulls,,Utah Jazz,,,Vivint Arena,
307,Mon Nov 28 2022,10:00p,Phoenix Suns,,Sacramento Kings,,,Golden 1 Center,
308,Mon Nov 28 2022,10:30p,Indiana Pacers,,Los Angeles Lakers,,,Crypto.com Arena,
309,Tue Nov 29 2022,7:00p,New York Knicks,,Detroit Pistons,,,Little Caesars Arena,
310,Tue Nov 29 2022,7:30p,Golden State Warriors,,Dallas Mavericks,,,American Airlines Center,
311,Tue Nov 29 2022,10:00p,Los Angeles Clippers,,Portland Trail Blazers,,,Moda Center,
312,Wed Nov 30 2022,7:00p,Philadelphia 76ers,,Cleveland Cavaliers,,,Rocket Mortgage Fieldhouse,
313,Wed Nov 30 2022,7:00p,Atlanta Hawks,,Orlando Magic,,,Amway Center,
314,Wed Nov 30 2022,7:30p,Miami Heat,,Boston Celtics,,,TD Garden,
315,Wed Nov 30 2022,7:30p,Washington Wizards,,Brooklyn Nets,,,Barclays Center,
316,Wed Nov 30 2022,7:30p,Milwaukee Bucks,,New York Knicks,,,Madison Square Garden (IV),
317,Wed Nov 30 2022,8:00p,Memphis Grizzlies,,Minnesota Timberwolves,,,Target Center,
318,Wed Nov 30 2022,8:00p,Toronto Raptors,,New Orleans Pelicans,,,Smoothie King Center,
319,Wed Nov 30 2022,8:00p,San Antonio Spurs,,Oklahoma City Thunder,,,Paycom Center,
320,Wed Nov 30 2022,9:00p,Houston Rockets,,Denver Nuggets,,,Ball Arena,
321,Wed Nov 30 2022,9:00p,Chicago Bulls,,Phoenix Suns,,,Footprint Center,
322,Wed Nov 30 2022,9:00p,Los Angeles Clippers,,Utah Jazz,,,Vivint Arena,
323,Wed Nov 30 2022,10:00p,Indiana Pacers,,Sacramento Kings,,,Golden 1 Center,
324,Wed Nov 30 2022,10:30p,Portland Trail Blazers,,Los Angeles Lakers,,,Crypto.com Arena,
325,Thu Dec 1 2022,7:00p,Dallas Mavericks,,Detroit Pistons,,,Little Caesars Arena,
326,Fri Dec 2 2022,7:00p,Washington Wizards,,Charlotte Hornets,,,Spectrum Center,
327,Fri Dec 2 2022,7:30p,Denver Nuggets,,Atlanta Hawks,,,State Farm Arena,
328,Fri Dec 2 2022,7:30p,Miami Heat,,Boston Celtics,,,TD Garden,
329,Fri Dec 2 2022,7:30p,Toronto Raptors,,Brooklyn Nets,,,Barclays Center,
330,Fri Dec 2 2022,7:30p,Orlando Magic,,Cleveland Cavaliers,,,Rocket Mortgage Fieldhouse,
331,Fri Dec 2 2022,7:30p,Los Angeles Lakers,,Milwaukee Bucks,,,Fiserv Forum,
332,Fri Dec 2 2022,8:00p,Philadelphia 76ers,,Memphis Grizzlies,,,FedEx Forum,
333,Fri Dec 2 2022,8:00p,New Orleans Pelicans,,San Antonio Spurs,,,AT&T Center,
334,Fri Dec 2 2022,9:00p,Houston Rockets,,Phoenix Suns,,,Footprint Center,
335,Fri Dec 2 2022,9:00p,Indiana Pacers,,Utah Jazz,,,Vivint Arena,
336,Fri Dec 2 2022,10:00p,Chicago Bulls,,Golden State Warriors,,,Chase Center,
337,Sat Dec 3 2022,12:30p,Dallas Mavericks,,New York Knicks,,,Madison Square Garden (IV),
338,Sat Dec 3 2022,4:00p,Sacramento Kings,,Los Angeles Clippers,,,Crypto.com Arena,
339,Sat Dec 3 2022,6:00p,Milwaukee Bucks,,Charlotte Hornets,,,Spectrum Center,
340,Sat Dec 3 2022,8:00p,Oklahoma City Thunder,,Minnesota Timberwolves,,,Target Center,
341,Sat Dec 3 2022,8:00p,Orlando Magic,,Toronto Raptors,,,Scotiabank Arena,
342,Sat Dec 3 2022,8:30p,Houston Rockets,,Golden State Warriors,,,Chase Center,
343,Sat Dec 3 2022,9:00p,Portland Trail Blazers,,Utah Jazz,,,Vivint Arena,
344,Sun Dec 4 2022,3:30p,Denver Nuggets,,New Orleans Pelicans,,,Smoothie King Center,
345,Sun Dec 4 2022,4:00p,Phoenix Suns,,San Antonio Spurs,,,AT&T Center,
346,Sun Dec 4 2022,6:00p,Boston Celtics,,Brooklyn Nets,,,Barclays Center,
347,Sun Dec 4 2022,6:00p,Memphis Grizzlies,,Detroit Pistons,,,Little Caesars Arena,
348,Sun Dec 4 2022,6:00p,Cleveland Cavaliers,,New York Knicks,,,Madison Square Garden (IV),
349,Sun Dec 4 2022,6:00p,Chicago Bulls,,Sacramento Kings,,,Golden 1 Center,
350,Sun Dec 4 2022,6:00p,Los Angeles Lakers,,Washington Wizards,,,Capital One Arena,
351,Sun Dec 4 2022,9:00p,Indiana Pacers,,Portland Trail Blazers,,,Moda Center,
352,Mon Dec 5 2022,7:00p,Los Angeles Clippers,,Charlotte Hornets,,,Spectrum Center,
353,Mon Dec 5 2022,7:00p,Milwaukee Bucks,,Orlando Magic,,,Amway Center,
354,Mon Dec 5 2022,7:30p,Oklahoma City Thunder,,Atlanta Hawks,,,State Farm Arena,
355,Mon Dec 5 2022,7:30p,Boston Celtics,,Toronto Raptors,,,Scotiabank Arena,
356,Mon Dec 5 2022,8:00p,Philadelphia 76ers,,Houston Rockets,,,Toyota Center,
357,Mon Dec 5 2022,8:00p,Miami Heat,,Memphis Grizzlies,,,FedEx Forum,
358,Mon Dec 5 2022,8:30p,Phoenix Suns,,Dallas Mavericks,,,American Airlines Center,
359,Mon Dec 5 2022,10:00p,Indiana Pacers,,Golden State Warriors,,,Chase Center,
360,Tue Dec 6 2022,7:30p,Los Angeles Lakers,,Cleveland Cavaliers,,,Rocket Mortgage Fieldhouse,
361,Tue Dec 6 2022,7:30p,Detroit Pistons,,Miami Heat,,,FTX Arena,
362,Tue Dec 6 2022,10:00p,Dallas Mavericks,,Denver Nuggets,,,Ball Arena,
363,Wed Dec 7 2022,7:00p,Los Angeles Clippers,,Orlando Magic,,,Amway Center,
364,Wed Dec 7 2022,7:30p,Charlotte Hornets,,Brooklyn Nets,,,Barclays Center,
365,Wed Dec 7 2022,7:30p,Atlanta Hawks,,New York Knicks,,,Madison Square Garden (IV),
366,Wed Dec 7 2022,7:30p,Los Angeles Lakers,,Toronto Raptors,,,Scotiabank Arena,
367,Wed Dec 7 2022,8:00p,Washington Wizards,,Chicago Bulls,,,United Center,
368,Wed Dec 7 2022,8:00p,Oklahoma City Thunder,,Memphis Grizzlies,,,FedEx Forum,
369,Wed Dec 7 2022,8:00p,Sacramento Kings,,Milwaukee Bucks,,,Fiserv Forum,
370,Wed Dec 7 2022,8:00p,Indiana Pacers,,Minnesota Timberwolves,,,Target Center,
371,Wed Dec 7 2022,8:00p,Detroit Pistons,,New Orleans Pelicans,,,Smoothie King Center,
372,Wed Dec 7 2022,9:00p,Golden State Warriors,,Utah Jazz,,,Vivint Arena,
373,Wed Dec 7 2022,10:00p,Boston Celtics,,Phoenix Suns,,,Footprint Center,
374,Thu Dec 8 2022,7:30p,Los Angeles Clippers,,Miami Heat,,,FTX Arena,
375,Thu Dec 8 2022,8:30p,Houston Rockets,,San Antonio Spurs,,,AT&T Center,
376,Thu Dec 8 2022,10:00p,Denver Nuggets,,Portland Trail Blazers,,,Moda Center,
377,Fri Dec 9 2022,7:00p,New York Knicks,,Charlotte Hornets,,,Spectrum Center,
378,Fri Dec 9 2022,7:00p,Washington Wizards,,Indiana Pacers,,,Gainbridge Fieldhouse,
379,Fri Dec 9 2022,7:00p,Toronto Raptors,,Orlando Magic,,,Amway Center,
380,Fri Dec 9 2022,7:30p,Atlanta Hawks,,Brooklyn Nets,,,Barclays Center,
381,Fri Dec 9 2022,7:30p,Sacramento Kings,,Cleveland Cavaliers,,,Rocket Mortgage Fieldhouse,
382,Fri Dec 9 2022,7:30p,Los Angeles Lakers,,Philadelphia 76ers,,,Wells Fargo Center,
383,Fri Dec 9 2022,8:00p,Detroit Pistons,,Memphis Grizzlies,,,FedEx Forum,
384,Fri Dec 9 2022,8:30p,Phoenix Suns,,New Orleans Pelicans,,,Smoothie King Center,
385,Fri Dec 9 2022,9:00p,Minnesota Timberwolves,,Utah Jazz,,,Vivint Arena,
386,Fri Dec 9 2022,10:00p,Milwaukee Bucks,,Dallas Mavericks,,,American Airlines Center,
387,Sat Dec 10 2022,5:00p,San Antonio Spurs,,Miami Heat,,,FTX Arena,
388,Sat Dec 10 2022,7:00p,Brooklyn Nets,,Indiana Pacers,,,Gainbridge Fieldhouse,
389,Sat Dec 10 2022,7:00p,Los Angeles Clippers,,Washington Wizards,,,Capital One Arena,
390,Sat Dec 10 2022,7:30p,Oklahoma City Thunder,,Cleveland Cavaliers,,,Rocket Mortgage Fieldhouse,
391,Sat Dec 10 2022,8:00p,Dallas Mavericks,,Chicago Bulls,,,United Center,
392,Sat Dec 10 2022,8:30p,Boston Celtics,,Golden State Warriors,,,Chase Center,
393,Sat Dec 10 2022,9:00p,Utah Jazz,,Denver Nuggets,,,Ball Arena,
394,Sat Dec 10 2022,10:00p,Minnesota Timberwolves,,Portland Trail Blazers,,,Moda Center,
395,Sun Dec 11 2022,3:30p,Phoenix Suns,,New Orleans Pelicans,,,Smoothie King Center,
396,Sun Dec 11 2022,6:00p,Los Angeles Lakers,,Detroit Pistons,,,Little Caesars Arena,
397,Sun Dec 11 2022,6:00p,Sacramento Kings,,New York Knicks,,,Madison Square Garden (IV),
398,Sun Dec 11 2022,6:00p,Toronto Raptors,,Orlando Magic,,,Amway Center,
399,Sun Dec 11 2022,6:00p,Charlotte Hornets,,Philadelphia 76ers,,,Wells Fargo Center,
400,Sun Dec 11 2022,6:30p,Chicago Bulls,,Atlanta Hawks,,,State Farm Arena,
401,Sun Dec 11 2022,7:00p,Milwaukee Bucks,,Houston Rockets,,,Toyota Center,
402,Mon Dec 12 2022,7:00p,Miami Heat,,Indiana Pacers,,,Gainbridge Fieldhouse,
403,Mon Dec 12 2022,7:00p,Brooklyn Nets,,Washington Wizards,,,Capital One Arena,
404,Mon Dec 12 2022,8:00p,Atlanta Hawks,,Memphis Grizzlies,,,FedEx Forum,
405,Mon Dec 12 2022,8:30p,Oklahoma City Thunder,,Dallas Mavericks,,,American Airlines Center,
406,Mon Dec 12 2022,8:30p,Cleveland Cavaliers,,San Antonio Spurs,,,AT&T Center,
407,Mon Dec 12 2022,10:00p,Minnesota Timberwolves,,Portland Trail Blazers,,,Moda Center,
408,Mon Dec 12 2022,10:30p,Boston Celtics,,Los Angeles Clippers,,,Crypto.com Arena,
409,Tue Dec 13 2022,7:00p,Sacramento Kings,,Philadelphia 76ers,,,Wells Fargo Center,
410,Tue Dec 13 2022,7:30p,Golden State Warriors,,Milwaukee Bucks,,,Fiserv Forum,
411,Tue Dec 13 2022,8:00p,Phoenix Suns,,Houston Rockets,,,Toyota Center,
412,Tue Dec 13 2022,9:00p,New Orleans Pelicans,,Utah Jazz,,,Vivint Arena,
413,Tue Dec 13 2022,10:00p,Boston Celtics,,Los Angeles Lakers,,,Crypto.com Arena,
414,Wed Dec 14 2022,7:00p,Detroit Pistons,,Charlotte Hornets,,,Spectrum Center,
415,Wed Dec 14 2022,7:00p,Golden State Warriors,,Indiana Pacers,,,Gainbridge Fieldhouse,
416,Wed Dec 14 2022,7:00p,Atlanta Hawks,,Orlando Magic,,,Amway Center,
417,Wed Dec 14 2022,7:30p,New York Knicks,,Chicago Bulls,,,United Center,
418,Wed Dec 14 2022,7:30p,Sacramento Kings,,Toronto Raptors,,,Scotiabank Arena,
419,Wed Dec 14 2022,8:00p,Miami Heat,,Oklahoma City Thunder,,,Paycom Center,
420,Wed Dec 14 2022,8:00p,Portland Trail Blazers,,San Antonio Spurs,,,AT&T Center,
421,Wed Dec 14 2022,9:00p,Cleveland Cavaliers,,Dallas Mavericks,,,American Airlines Center,
422,Wed Dec 14 2022,9:00p,Washington Wizards,,Denver Nuggets,,,Ball Arena,
423,Wed Dec 14 2022,10:00p,Minnesota Timberwolves,,Los Angeles Clippers,,,Crypto.com Arena,
424,Thu Dec 15 2022,8:00p,Miami Heat,,Houston Rockets,,,Toyota Center,
425,Thu Dec 15 2022,8:00p,Milwaukee Bucks,,Memphis Grizzlies,,,FedEx Forum,
426,Thu Dec 15 2022,9:00p,New Orleans Pelicans,,Utah Jazz,,,Vivint Arena,
427,Thu Dec 15 2022,10:30p,Phoenix Suns,,Los Angeles Clippers,,,Crypto.com Arena,
428,Fri Dec 16 2022,7:00p,Atlanta Hawks,,Charlotte Hornets,,,Spectrum Center,
429,Fri Dec 16 2022,7:00p,Sacramento Kings,,Detroit Pistons,,,Little Caesars Arena,
430,Fri Dec 16 2022,7:30p,Orlando Magic,,Boston Celtics,,,TD Garden,
431,Fri Dec 16 2022,7:30p,Indiana Pacers,,Cleveland Cavaliers,,,Rocket Mortgage Fieldhouse,
432,Fri Dec 16 2022,7:30p,Golden State Warriors,,Philadelphia 76ers,,,Wells Fargo Center,
433,Fri Dec 16 2022,7:30p,Brooklyn Nets,,Toronto Raptors,,,Scotiabank Arena,
434,Fri Dec 16 2022,8:00p,New York Knicks,,Chicago Bulls,,,United Center,
435,Fri Dec 16 2022,8:00p,Minnesota Timberwolves,,Oklahoma City Thunder,,,Paycom Center,
436,Fri Dec 16 2022,8:30p,Portland Trail Blazers,,Dallas Mavericks,,,American Airlines Center,
437,Fri Dec 16 2022,10:00p,Denver Nuggets,,Los Angeles Lakers,,,Crypto.com Arena,
438,Sat Dec 17 2022,4:00p,Washington Wizards,,Los Angeles Clippers,,,Crypto.com Arena,
439,Sat Dec 17 2022,5:00p,Miami Heat,,San Antonio Spurs,,,Mexico City Arena,
440,Sat Dec 17 2022,8:00p,Dallas Mavericks,,Cleveland Cavaliers,,,Rocket Mortgage Fieldhouse,
441,Sat Dec 17 2022,8:00p,Portland Trail Blazers,,Houston Rockets,,,Toyota Center,
442,Sat Dec 17 2022,8:00p,Utah Jazz,,Milwaukee Bucks,,,Fiserv Forum,
443,Sat Dec 17 2022,8:00p,Memphis Grizzlies,,Oklahoma City Thunder,,,Paycom Center,
444,Sat Dec 17 2022,9:00p,New Orleans Pelicans,,Phoenix Suns,,,Footprint Center,
445,Sun Dec 18 2022,3:00p,Orlando Magic,,Boston Celtics,,,TD Garden,
446,Sun Dec 18 2022,5:00p,New York Knicks,,Indiana Pacers,,,Gainbridge Fieldhouse,
447,Sun Dec 18 2022,6:00p,Brooklyn Nets,,Detroit Pistons,,,Little Caesars Arena,
448,Sun Dec 18 2022,6:00p,Golden State Warriors,,Toronto Raptors,,,Scotiabank Arena,
449,Sun Dec 18 2022,7:00p,Chicago Bulls,,Minnesota Timberwolves,,,Target Center,
450,Sun Dec 18 2022,8:00p,Charlotte Hornets,,Denver Nuggets,,,Ball Arena,
451,Sun Dec 18 2022,9:30p,Washington Wizards,,Los Angeles Lakers,,,Crypto.com Arena,
452,Mon Dec 19 2022,7:00p,Utah Jazz,,Cleveland Cavaliers,,,Rocket Mortgage Fieldhouse,
453,Mon Dec 19 2022,7:00p,Toronto Raptors,,Philadelphia 76ers,,,Wells Fargo Center,
454,Mon Dec 19 2022,7:30p,Orlando Magic,,Atlanta Hawks,,,State Farm Arena,
455,Mon Dec 19 2022,8:00p,San Antonio Spurs,,Houston Rockets,,,Toyota Center,
456,Mon Dec 19 2022,8:00p,Dallas Mavericks,,Minnesota Timberwolves,,,Target Center,
457,Mon Dec 19 2022,8:00p,Milwaukee Bucks,,New Orleans Pelicans,,,Smoothie King Center,
458,Mon Dec 19 2022,8:00p,Portland Trail Blazers,,Oklahoma City Thunder,,,Paycom Center,
459,Mon Dec 19 2022,9:00p,Los Angeles Lakers,,Phoenix Suns,,,Footprint Center,
460,Mon Dec 19 2022,10:00p,Charlotte Hornets,,Sacramento Kings,,,Golden 1 Center,
461,Tue Dec 20 2022,7:00p,Utah Jazz,,Detroit Pistons,,,Little Caesars Arena,
462,Tue Dec 20 2022,7:30p,Chicago Bulls,,Miami Heat,,,FTX Arena,
463,Tue Dec 20 2022,7:30p,Golden State Warriors,,New York Knicks,,,Madison Square Garden (IV),
464,Tue Dec 20 2022,9:00p,Washington Wizards,,Phoenix Suns,,,Footprint Center,
465,Tue Dec 20 2022,10:00p,Memphis Grizzlies,,Denver Nuggets,,,Ball Arena,
466,Wed Dec 21 2022,7:00p,Milwaukee Bucks,,Cleveland Cavaliers,,,Rocket Mortgage Fieldhouse,
467,Wed Dec 21 2022,7:00p,Detroit Pistons,,Philadelphia 76ers,,,Wells Fargo Center,
468,Wed Dec 21 2022,7:30p,Chicago Bulls,,Atlanta Hawks,,,State Farm Arena,
469,Wed Dec 21 2022,7:30p,Indiana Pacers,,Boston Celtics,,,TD Garden,
470,Wed Dec 21 2022,7:30p,Golden State Warriors,,Brooklyn Nets,,,Barclays Center,
471,Wed Dec 21 2022,7:30p,Toronto Raptors,,New York Knicks,,,Madison Square Garden (IV),
472,Wed Dec 21 2022,8:00p,Orlando Magic,,Houston Rockets,,,Toyota Center,
473,Wed Dec 21 2022,8:00p,Dallas Mavericks,,Minnesota Timberwolves,,,Target Center,
474,Wed Dec 21 2022,8:00p,Portland Trail Blazers,,Oklahoma City Thunder,,,Paycom Center,
475,Wed Dec 21 2022,10:00p,Los Angeles Lakers,,Sacramento Kings,,,Golden 1 Center,
476,Wed Dec 21 2022,10:30p,Charlotte Hornets,,Los Angeles Clippers,,,Crypto.com Arena,
477,Thu Dec 22 2022,8:00p,San Antonio Spurs,,New Orleans Pelicans,,,Smoothie King Center,
478,Thu Dec 22 2022,9:00p,Washington Wizards,,Utah Jazz,,,Vivint Arena,
479,Fri Dec 23 2022,7:00p,San Antonio Spurs,,Orlando Magic,,,Amway Center,
480,Fri Dec 23 2022,7:00p,Los Angeles Clippers,,Philadelphia 76ers,,,Wells Fargo Center,
481,Fri Dec 23 2022,7:30p,Detroit Pistons,,Atlanta Hawks,,,State Farm Arena,
482,Fri Dec 23 2022,7:30p,Minnesota Timberwolves,,Boston Celtics,,,TD Garden,
483,Fri Dec 23 2022,7:30p,Milwaukee Bucks,,Brooklyn Nets,,,Barclays Center,
484,Fri Dec 23 2022,7:30p,Toronto Raptors,,Cleveland Cavaliers,,,Rocket Mortgage Fieldhouse,
485,Fri Dec 23 2022,7:30p,Chicago Bulls,,New York Knicks,,,Madison Square Garden (IV),
486,Fri Dec 23 2022,8:00p,Dallas Mavericks,,Houston Rockets,,,Toyota Center,
487,Fri Dec 23 2022,8:00p,Indiana Pacers,,Miami Heat,,,FTX Arena,
488,Fri Dec 23 2022,8:00p,New Orleans Pelicans,,Oklahoma City Thunder,,,Paycom Center,
489,Fri Dec 23 2022,9:00p,Portland Trail Blazers,,Denver Nuggets,,,Ball Arena,
490,Fri Dec 23 2022,10:00p,Memphis Grizzlies,,Phoenix Suns,,,Footprint Center,
491,Fri Dec 23 2022,10:00p,Washington Wizards,,Sacramento Kings,,,Golden 1 Center,
492,Fri Dec 23 2022,10:30p,Charlotte Hornets,,Los Angeles Lakers,,,Crypto.com Arena,
493,Sun Dec 25 2022,12:00p,Philadelphia 76ers,,New York Knicks,,,Madison Square Garden (IV),
494,Sun Dec 25 2022,2:30p,Los Angeles Lakers,,Dallas Mavericks,,,American Airlines Center,
495,Sun Dec 25 2022,5:00p,Milwaukee Bucks,,Boston Celtics,,,TD Garden,
496,Sun Dec 25 2022,8:00p,Memphis Grizzlies,,Golden State Warriors,,,Chase Center,
497,Sun Dec 25 2022,10:30p,Phoenix Suns,,Denver Nuggets,,,Ball Arena,
498,Mon Dec 26 2022,7:00p,Brooklyn Nets,,Cleveland Cavaliers,,,Rocket Mortgage Fieldhouse,
499,Mon Dec 26 2022,7:00p,Los Angeles Clippers,,Detroit Pistons,,,Little Caesars Arena,
500,Mon Dec 26 2022,7:30p,Minnesota Timberwolves,,Miami Heat,,,FTX Arena,
501,Mon Dec 26 2022,8:00p,Houston Rockets,,Chicago Bulls,,,United Center,
502,Mon Dec 26 2022,8:00p,Indiana Pacers,,New Orleans Pelicans,,,Smoothie King Center,
503,Mon Dec 26 2022,8:00p,Utah Jazz,,San Antonio Spurs,,,AT&T Center,
504,Mon Dec 26 2022,10:00p,Charlotte Hornets,,Portland Trail Blazers,,,Moda Center,
505,Tue Dec 27 2022,7:00p,Los Angeles Lakers,,Orlando Magic,,,Amway Center,
506,Tue Dec 27 2022,7:00p,Philadelphia 76ers,,Washington Wizards,,,Capital One Arena,
507,Tue Dec 27 2022,7:30p,Houston Rockets,,Boston Celtics,,,TD Garden,
508,Tue Dec 27 2022,7:30p,Atlanta Hawks,,Indiana Pacers,,,Gainbridge Fieldhouse,
509,Tue Dec 27 2022,7:30p,Los Angeles Clippers,,Toronto Raptors,,,Scotiabank Arena,
510,Tue Dec 27 2022,8:00p,Phoenix Suns,,Memphis Grizzlies,,,FedEx Forum,
511,Tue Dec 27 2022,8:00p,San Antonio Spurs,,Oklahoma City Thunder,,,Paycom Center,
512,Tue Dec 27 2022,8:30p,New York Knicks,,Dallas Mavericks,,,American Airlines Center,
513,Tue Dec 27 2022,10:00p,Charlotte Hornets,,Golden State Warriors,,,Chase Center,
514,Tue Dec 27 2022,10:00p,Denver Nuggets,,Sacramento Kings,,,Golden 1 Center,
515,Wed Dec 28 2022,7:00p,Orlando Magic,,Detroit Pistons,,,Little Caesars Arena,
516,Wed Dec 28 2022,7:00p,Phoenix Suns,,Washington Wizards,,,Capital One Arena,
517,Wed Dec 28 2022,7:30p,Brooklyn Nets,,Atlanta Hawks,,,State Farm Arena,
518,Wed Dec 28 2022,7:30p,Los Angeles Lakers,,Miami Heat,,,FTX Arena,
519,Wed Dec 28 2022,8:00p,Milwaukee Bucks,,Chicago Bulls,,,United Center,
520,Wed Dec 28 2022,8:00p,Minnesota Timberwolves,,New Orleans Pelicans,,,Smoothie King Center,
521,Wed Dec 28 2022,10:00p,Utah Jazz,,Golden State Warriors,,,Chase Center,
522,Wed Dec 28 2022,10:00p,Denver Nuggets,,Sacramento Kings,,,Golden 1 Center,
523,Thu Dec 29 2022,7:00p,Oklahoma City Thunder,,Charlotte Hornets,,,Spectrum Center,
524,Thu Dec 29 2022,7:00p,Cleveland Cavaliers,,Indiana Pacers,,,Gainbridge Fieldhouse,
525,Thu Dec 29 2022,7:30p,Los Angeles Clippers,,Boston Celtics,,,TD Garden,
526,Thu Dec 29 2022,7:30p,Memphis Grizzlies,,Toronto Raptors,,,Scotiabank Arena,
527,Thu Dec 29 2022,8:00p,New York Knicks,,San Antonio Spurs,,,AT&T Center,
528,Thu Dec 29 2022,8:30p,Houston Rockets,,Dallas Mavericks,,,American Airlines Center,
529,Fri Dec 30 2022,7:00p,Washington Wizards,,Orlando Magic,,,Amway Center,
530,Fri Dec 30 2022,7:30p,Los Angeles Lakers,,Atlanta Hawks,,,State Farm Arena,
531,Fri Dec 30 2022,7:30p,Phoenix Suns,,Toronto Raptors,,,Scotiabank Arena,
532,Fri Dec 30 2022,8:00p,Detroit Pistons,,Chicago Bulls,,,United Center,
533,Fri Dec 30 2022,8:00p,Minnesota Timberwolves,,Milwaukee Bucks,,,Fiserv Forum,
534,Fri Dec 30 2022,8:30p,Philadelphia 76ers,,New Orleans Pelicans,,,Smoothie King Center,
535,Fri Dec 30 2022,9:00p,Miami Heat,,Denver Nuggets,,,Ball Arena,
536,Fri Dec 30 2022,10:00p,Portland Trail Blazers,,Golden State Warriors,,,Chase Center,
537,Fri Dec 30 2022,10:00p,Utah Jazz,,Sacramento Kings,,,Golden 1 Center,
538,Sat Dec 31 2022,3:00p,Los Angeles Clippers,,Indiana Pacers,,,Gainbridge Fieldhouse,
539,Sat Dec 31 2022,7:00p,Cleveland Cavaliers,,Chicago Bulls,,,United Center,
540,Sat Dec 31 2022,7:00p,Brooklyn Nets,,Charlotte Hornets,,,Spectrum Center,
541,Sat Dec 31 2022,7:00p,New York Knicks,,Houston Rockets,,,Toyota Center,
542,Sat Dec 31 2022,7:00p,Dallas Mavericks,,San Antonio Spurs,,,AT&T Center,
543,Sat Dec 31 2022,8:00p,New Orleans Pelicans,,Memphis Grizzlies,,,FedEx Forum,
544,Sat Dec 31 2022,8:00p,Detroit Pistons,,Minnesota Timberwolves,,,Target Center,
545,Sat Dec 31 2022,8:00p,Philadelphia 76ers,,Oklahoma City Thunder,,,Paycom Center,
546,Sat Dec 31 2022,9:00p,Miami Heat,,Utah Jazz,,,Vivint Arena,
547,Sun Jan 1 2023,8:00p,Boston Celtics,,Denver Nuggets,,,Ball Arena,
