team,team_short,win_total,elo_rating,conf,division
Bryant, ,,859.879364154472,Other,FCS
Bucknell, ,,979.122023149524,Other,FCS
Buffalo, ,,1604.17187402179,MAC (East),FBS
Central Arkansas, ,,1843.39490082164,Other,FCS
Citadel, ,,1805.97664164132,Other,FCS
Colgate, ,,788.379547749222,Other,FCS
East Tennessee State, ,,1315.4847450044,Other,FCS
Eastern Kentucky, ,,721.596363883159,Other,FCS
Gardner-Webb, ,,661.310643963546,Other,FCS
Idaho State, ,,1743.38342231797,Other,FCS
Incarnate Word, ,,2184.94958483943,Other,FCS
Long Island, ,,1484.70775701545,Other,FCS
Maine, ,,2170.18495333852,Other,FCS
Mercer, ,,827.8765320649,Other,FCS
Monmouth, ,,1303.71011807496,Other,FCS
Northern Arizona, ,,1625.49458747166,Other,FCS
Northern Iowa, ,,884.790232951976,Other,FCS
Northwestern State, ,,2189.42677820746,Other,FCS
Portland State, ,,613.118607163415,Other,FCS
Robert Morris, ,,932.910470264553,Other,FCS
South Carolina State, ,,1426.59291680437,Other,FCS
Southeast Missouri State, ,,740.123988298625,Other,FCS
Southeastern Louisiana, ,,1327.91087023743,Other,FCS
Stephen F. Austin, ,,864.378521178709,Other,FCS
Tennessee State, ,,761.883271682265,Other,FCS
Tennessee-Martin, ,,711.806225313197,Other,FCS
Texas-San Antonio, ,,1423.10203091839,Other,FCS
Toledo, ,,1706.73659258658,MAC (West),FBS
Towson, ,,1335.59630714142,Other,FCS
Western Carolina, ,,773.131098508984,Other,FCS
Western Illinois, ,,1963.62278040716,Other,FCS
Wofford, ,,755.360173423799,Other,FCS
Murray State, ,,801.260376546425,Other,FCS
Austin Peay, ,,641.331905323273,Other,FCS
Cal Poly, ,,723.028327914291,Other,FCS
California-Davis, ,,963.178022302211,Other,FCS
Charleston Southern, ,,892.483423455584,Other,FCS
Delaware, ,,739.110373105033,Other,FCS
Delaware State, ,,1251.93841634338,Other,FCS
Duquesne, ,,633.679439701019,Other,FCS
Eastern Illinois, ,,2071.55573147372,Other,FCS
Eastern Washington, ,,1503.9007227548,Other,FCS
Florida A&M, ,,1982.58998897961,Other,FCS
Fordham, ,,1594.19245296029,Other,FCS
Furman, ,,1516.7342589854,Other,FCS
Grambling State, ,,720.206407336256,Other,FCS
Holy Cross, ,,1550.02838171023,Other,FCS
Houston Baptist, ,,1073.5912869339,Other,FCS
Idaho, ,,2070.80172157448,Other,FCS
Indiana State, ,,1681.87417382051,Other,FCS
Lafayette, ,,1470.55128427658,Other,FCS
Lamar, ,,1351.78899733362,Other,FCS
McNeese State, ,,961.712322789485,Other,FCS
Memphis, ,,1482.2167013875,American,FBS
Morgan State, ,,1719.82161781161,Other,FCS
New Hampshire, ,,1836.53694554972,Other,FCS
Nicholls State, ,,706.45871784764,Other,FCS
Richmond, ,,828.741070325066,Other,FCS
Southern Illinois, ,,1109.3513097092,Other,FCS
Tennessee Tech, ,,2136.6708979056,Other,FCS
Texas Southern, ,,692.382375142892,Other,FCS
Wagner, ,,1538.15183202341,Other,FCS
Youngstown State, ,,749.648956640664,Other,FCS
Central Connecticut State, ,,2144.72870989009,Other,FCS
Florida Atlantic, ,,1361.31807212059,American,FBS
Jackson State, ,,1939.38492831741,Other,FCS
Norfolk State, ,,1048.67561590641,Other,FCS
North Carolina Central, ,,1740.39535483227,Other,FCS
North Dakota, ,,676.851375666486,Other,FCS
Northern Colorado, ,,678.10936948398,Other,FCS
Prairie View A&M, ,,1936.08661818211,Other,FCS
Sacramento State, ,,721.66254014389,Other,FCS
Samford, ,,907.989040280903,Other,FCS
Stony Brook, ,,2191.60626434642,Other,FCS
Tarleton State, ,,778.209913773069,Other,FCS
Villanova, ,,1321.18461945476,Other,FCS
Virginia Military Institute, ,,1694.31945530774,Other,FCS
Weber State, ,,718.979301866548,Other,FCS
Rutgers, ,,662.931926316895,Big Ten (East),FBS
Abilene Christian, ,,691.194467480801,Other,FCS
Utah Tech, ,,1292.23713873118,Other,FCS
William & Mary, ,,1559.99201087798,Other,FCS
Campbell, ,,758.326886100602,Other,FCS
Kennesaw State, ,,755.951893197597,Other,FCS
Merrimack, ,,2346.59935007071,Other,FCS
Chattanooga, ,,825.741347100246,Other,FCS
North Alabama, ,,947.867910913144,Other,FCS
Texas A&M-Commerce, ,,750,Other,FCS
