season,speaker,team,pick,line,episode_date,episode_url
2026,Bill Simmons,Philadelphia Eagles,over,10.5,2026-08-28,https://podscripts.co/podcasts/the-bill-simmons-podcast/the-annual-nfc-overunders-with-bill-simmons-cousin-sal-and-joe-house
2026,Cousin Sal,Philadelphia Eagles,under,10.5,2026-08-28,https://podscripts.co/podcasts/the-bill-simmons-podcast/the-annual-nfc-overunders-with-bill-simmons-cousin-sal-and-joe-house
2026,Bill Simmons,Dallas Cowboys,over,9.5,2026-08-28,https://podscripts.co/podcasts/the-bill-simmons-podcast/the-annual-nfc-overunders-with-bill-simmons-cousin-sal-and-joe-house
2026,Cousin Sal,Dallas Cowboys,under,9.5,2026-08-28,https://podscripts.co/podcasts/the-bill-simmons-podcast/the-annual-nfc-overunders-with-bill-simmons-cousin-sal-and-joe-house
2026,Bill Simmons,New York Giants,under,7.5,2026-08-28,https://podscripts.co/podcasts/the-bill-simmons-podcast/the-annual-nfc-overunders-with-bill-simmons-cousin-sal-and-joe-house
2026,Cousin Sal,New York Giants,under,7.5,2026-08-28,https://podscripts.co/podcasts/the-bill-simmons-podcast/the-annual-nfc-overunders-with-bill-simmons-cousin-sal-and-joe-house
2026,Bill Simmons,Washington Commanders,under,7.5,2026-08-28,https://podscripts.co/podcasts/the-bill-simmons-podcast/the-annual-nfc-overunders-with-bill-simmons-cousin-sal-and-joe-house
2026,Cousin Sal,Washington Commanders,over,7.5,2026-08-28,https://podscripts.co/podcasts/the-bill-simmons-podcast/the-annual-nfc-overunders-with-bill-simmons-cousin-sal-and-joe-house
2026,Bill Simmons,Detroit Lions,over,10.5,2026-08-28,https://podscripts.co/podcasts/the-bill-simmons-podcast/the-annual-nfc-overunders-with-bill-simmons-cousin-sal-and-joe-house
2026,Cousin Sal,Detroit Lions,under,10.5,2026-08-28,https://podscripts.co/podcasts/the-bill-simmons-podcast/the-annual-nfc-overunders-with-bill-simmons-cousin-sal-and-joe-house
2026,Bill Simmons,Green Bay Packers,under,9.5,2026-08-28,https://podscripts.co/podcasts/the-bill-simmons-podcast/the-annual-nfc-overunders-with-bill-simmons-cousin-sal-and-joe-house
2026,Cousin Sal,Green Bay Packers,over,9.5,2026-08-28,https://podscripts.co/podcasts/the-bill-simmons-podcast/the-annual-nfc-overunders-with-bill-simmons-cousin-sal-and-joe-house
2026,Bill Simmons,Chicago Bears,over,9.5,2026-08-28,https://podscripts.co/podcasts/the-bill-simmons-podcast/the-annual-nfc-overunders-with-bill-simmons-cousin-sal-and-joe-house
2026,Cousin Sal,Chicago Bears,under,9.5,2026-08-28,https://podscripts.co/podcasts/the-bill-simmons-podcast/the-annual-nfc-overunders-with-bill-simmons-cousin-sal-and-joe-house
2026,Bill Simmons,Minnesota Vikings,under,8.5,2026-08-28,https://podscripts.co/podcasts/the-bill-simmons-podcast/the-annual-nfc-overunders-with-bill-simmons-cousin-sal-and-joe-house
2026,Cousin Sal,Minnesota Vikings,under,8.5,2026-08-28,https://podscripts.co/podcasts/the-bill-simmons-podcast/the-annual-nfc-overunders-with-bill-simmons-cousin-sal-and-joe-house
2026,Bill Simmons,Tampa Bay Buccaneers,over,8.5,2026-08-28,https://podscripts.co/podcasts/the-bill-simmons-podcast/the-annual-nfc-overunders-with-bill-simmons-cousin-sal-and-joe-house
2026,Cousin Sal,Tampa Bay Buccaneers,under,8.5,2026-08-28,https://podscripts.co/podcasts/the-bill-simmons-podcast/the-annual-nfc-overunders-with-bill-simmons-cousin-sal-and-joe-house
2026,Bill Simmons,New Orleans Saints,over,7.5,2026-08-28,https://podscripts.co/podcasts/the-bill-simmons-podcast/the-annual-nfc-overunders-with-bill-simmons-cousin-sal-and-joe-house
2026,Cousin Sal,New Orleans Saints,under,7.5,2026-08-28,https://podscripts.co/podcasts/the-bill-simmons-podcast/the-annual-nfc-overunders-with-bill-simmons-cousin-sal-and-joe-house
2026,Bill Simmons,Atlanta Falcons,under,7.5,2026-08-28,https://podscripts.co/podcasts/the-bill-simmons-podcast/the-annual-nfc-overunders-with-bill-simmons-cousin-sal-and-joe-house
2026,Cousin Sal,Atlanta Falcons,under,7.5,2026-08-28,https://podscripts.co/podcasts/the-bill-simmons-podcast/the-annual-nfc-overunders-with-bill-simmons-cousin-sal-and-joe-house
2026,Bill Simmons,Carolina Panthers,over,6.5,2026-08-28,https://podscripts.co/podcasts/the-bill-simmons-podcast/the-annual-nfc-overunders-with-bill-simmons-cousin-sal-and-joe-house
2026,Cousin Sal,Carolina Panthers,over,6.5,2026-08-28,https://podscripts.co/podcasts/the-bill-simmons-podcast/the-annual-nfc-overunders-with-bill-simmons-cousin-sal-and-joe-house
2026,Bill Simmons,Los Angeles Rams,under,11.5,2026-08-28,https://podscripts.co/podcasts/the-bill-simmons-podcast/the-annual-nfc-overunders-with-bill-simmons-cousin-sal-and-joe-house
2026,Cousin Sal,Los Angeles Rams,over,11.5,2026-08-28,https://podscripts.co/podcasts/the-bill-simmons-podcast/the-annual-nfc-overunders-with-bill-simmons-cousin-sal-and-joe-house
2026,Bill Simmons,Seattle Seahawks,over,10.5,2026-08-28,https://podscripts.co/podcasts/the-bill-simmons-podcast/the-annual-nfc-overunders-with-bill-simmons-cousin-sal-and-joe-house
2026,Cousin Sal,Seattle Seahawks,over,10.5,2026-08-28,https://podscripts.co/podcasts/the-bill-simmons-podcast/the-annual-nfc-overunders-with-bill-simmons-cousin-sal-and-joe-house
2026,Bill Simmons,San Francisco 49ers,over,9.5,2026-08-28,https://podscripts.co/podcasts/the-bill-simmons-podcast/the-annual-nfc-overunders-with-bill-simmons-cousin-sal-and-joe-house
2026,Cousin Sal,San Francisco 49ers,over,9.5,2026-08-28,https://podscripts.co/podcasts/the-bill-simmons-podcast/the-annual-nfc-overunders-with-bill-simmons-cousin-sal-and-joe-house
2026,Bill Simmons,Arizona Cardinals,under,3.5,2026-08-28,https://podscripts.co/podcasts/the-bill-simmons-podcast/the-annual-nfc-overunders-with-bill-simmons-cousin-sal-and-joe-house
2026,Cousin Sal,Arizona Cardinals,under,3.5,2026-08-28,https://podscripts.co/podcasts/the-bill-simmons-podcast/the-annual-nfc-overunders-with-bill-simmons-cousin-sal-and-joe-house
2026,Bill Simmons,Buffalo Bills,under,10.5,2026-08-30,https://podscripts.co/podcasts/the-bill-simmons-podcast/the-annual-afc-overunders-with-bill-simmons-cousin-sal-and-joe-house
2026,Cousin Sal,Buffalo Bills,over,10.5,2026-08-30,https://podscripts.co/podcasts/the-bill-simmons-podcast/the-annual-afc-overunders-with-bill-simmons-cousin-sal-and-joe-house
2026,Bill Simmons,New England Patriots,over,10.5,2026-08-30,https://podscripts.co/podcasts/the-bill-simmons-podcast/the-annual-afc-overunders-with-bill-simmons-cousin-sal-and-joe-house
2026,Cousin Sal,New England Patriots,under,10.5,2026-08-30,https://podscripts.co/podcasts/the-bill-simmons-podcast/the-annual-afc-overunders-with-bill-simmons-cousin-sal-and-joe-house
2026,Bill Simmons,New York Jets,over,5.5,2026-08-30,https://podscripts.co/podcasts/the-bill-simmons-podcast/the-annual-afc-overunders-with-bill-simmons-cousin-sal-and-joe-house
2026,Cousin Sal,New York Jets,over,5.5,2026-08-30,https://podscripts.co/podcasts/the-bill-simmons-podcast/the-annual-afc-overunders-with-bill-simmons-cousin-sal-and-joe-house
2026,Bill Simmons,Miami Dolphins,under,3.5,2026-08-30,https://podscripts.co/podcasts/the-bill-simmons-podcast/the-annual-afc-overunders-with-bill-simmons-cousin-sal-and-joe-house
2026,Cousin Sal,Miami Dolphins,under,3.5,2026-08-30,https://podscripts.co/podcasts/the-bill-simmons-podcast/the-annual-afc-overunders-with-bill-simmons-cousin-sal-and-joe-house
2026,Bill Simmons,Baltimore Ravens,over,10.5,2026-08-30,https://podscripts.co/podcasts/the-bill-simmons-podcast/the-annual-afc-overunders-with-bill-simmons-cousin-sal-and-joe-house
2026,Cousin Sal,Baltimore Ravens,under,10.5,2026-08-30,https://podscripts.co/podcasts/the-bill-simmons-podcast/the-annual-afc-overunders-with-bill-simmons-cousin-sal-and-joe-house
2026,Bill Simmons,Cincinnati Bengals,over,10.5,2026-08-30,https://podscripts.co/podcasts/the-bill-simmons-podcast/the-annual-afc-overunders-with-bill-simmons-cousin-sal-and-joe-house
2026,Cousin Sal,Cincinnati Bengals,under,10.5,2026-08-30,https://podscripts.co/podcasts/the-bill-simmons-podcast/the-annual-afc-overunders-with-bill-simmons-cousin-sal-and-joe-house
2026,Bill Simmons,Pittsburgh Steelers,under,8.5,2026-08-30,https://podscripts.co/podcasts/the-bill-simmons-podcast/the-annual-afc-overunders-with-bill-simmons-cousin-sal-and-joe-house
2026,Cousin Sal,Pittsburgh Steelers,over,8.5,2026-08-30,https://podscripts.co/podcasts/the-bill-simmons-podcast/the-annual-afc-overunders-with-bill-simmons-cousin-sal-and-joe-house
2026,Bill Simmons,Cleveland Browns,under,5.5,2026-08-30,https://podscripts.co/podcasts/the-bill-simmons-podcast/the-annual-afc-overunders-with-bill-simmons-cousin-sal-and-joe-house
2026,Cousin Sal,Cleveland Browns,under,5.5,2026-08-30,https://podscripts.co/podcasts/the-bill-simmons-podcast/the-annual-afc-overunders-with-bill-simmons-cousin-sal-and-joe-house
2026,Bill Simmons,Houston Texans,over,9.5,2026-08-30,https://podscripts.co/podcasts/the-bill-simmons-podcast/the-annual-afc-overunders-with-bill-simmons-cousin-sal-and-joe-house
2026,Cousin Sal,Houston Texans,over,9.5,2026-08-30,https://podscripts.co/podcasts/the-bill-simmons-podcast/the-annual-afc-overunders-with-bill-simmons-cousin-sal-and-joe-house
2026,Bill Simmons,Jacksonville Jaguars,over,8.5,2026-08-30,https://podscripts.co/podcasts/the-bill-simmons-podcast/the-annual-afc-overunders-with-bill-simmons-cousin-sal-and-joe-house
2026,Cousin Sal,Jacksonville Jaguars,under,8.5,2026-08-30,https://podscripts.co/podcasts/the-bill-simmons-podcast/the-annual-afc-overunders-with-bill-simmons-cousin-sal-and-joe-house
2026,Bill Simmons,Indianapolis Colts,under,8.5,2026-08-30,https://podscripts.co/podcasts/the-bill-simmons-podcast/the-annual-afc-overunders-with-bill-simmons-cousin-sal-and-joe-house
2026,Cousin Sal,Indianapolis Colts,under,8.5,2026-08-30,https://podscripts.co/podcasts/the-bill-simmons-podcast/the-annual-afc-overunders-with-bill-simmons-cousin-sal-and-joe-house
2026,Bill Simmons,Tennessee Titans,under,5.5,2026-08-30,https://podscripts.co/podcasts/the-bill-simmons-podcast/the-annual-afc-overunders-with-bill-simmons-cousin-sal-and-joe-house
2026,Cousin Sal,Tennessee Titans,over,5.5,2026-08-30,https://podscripts.co/podcasts/the-bill-simmons-podcast/the-annual-afc-overunders-with-bill-simmons-cousin-sal-and-joe-house
2026,Bill Simmons,Denver Broncos,over,9.5,2026-08-30,https://podscripts.co/podcasts/the-bill-simmons-podcast/the-annual-afc-overunders-with-bill-simmons-cousin-sal-and-joe-house
2026,Cousin Sal,Denver Broncos,under,9.5,2026-08-30,https://podscripts.co/podcasts/the-bill-simmons-podcast/the-annual-afc-overunders-with-bill-simmons-cousin-sal-and-joe-house
2026,Bill Simmons,Kansas City Chiefs,under,9.5,2026-08-30,https://podscripts.co/podcasts/the-bill-simmons-podcast/the-annual-afc-overunders-with-bill-simmons-cousin-sal-and-joe-house
2026,Cousin Sal,Kansas City Chiefs,over,9.5,2026-08-30,https://podscripts.co/podcasts/the-bill-simmons-podcast/the-annual-afc-overunders-with-bill-simmons-cousin-sal-and-joe-house
2026,Bill Simmons,Los Angeles Chargers,over,9.5,2026-08-30,https://podscripts.co/podcasts/the-bill-simmons-podcast/the-annual-afc-overunders-with-bill-simmons-cousin-sal-and-joe-house
2026,Cousin Sal,Los Angeles Chargers,over,9.5,2026-08-30,https://podscripts.co/podcasts/the-bill-simmons-podcast/the-annual-afc-overunders-with-bill-simmons-cousin-sal-and-joe-house
2026,Bill Simmons,Las Vegas Raiders,under,5.5,2026-08-30,https://podscripts.co/podcasts/the-bill-simmons-podcast/the-annual-afc-overunders-with-bill-simmons-cousin-sal-and-joe-house
2026,Cousin Sal,Las Vegas Raiders,over,5.5,2026-08-30,https://podscripts.co/podcasts/the-bill-simmons-podcast/the-annual-afc-overunders-with-bill-simmons-cousin-sal-and-joe-house
